name,short_name,id,dataset_id
Karting Vallée De L'arc,ValleeArcK,03a4ab64-d92d-41a5-881e-40e192671179,cf3879b445ceb44cea7b275de6ce28e4--karting-vall-e-de-l-arc
Badger Kart Club - Briggs & Stratton Raceway Extended,Badger Ext,aa66c0db-2886-4baf-8c50-5d8a43e33b1b,8db68f2ad6499a0ac93e49b910e51708--badger-kart-club-briggs-stratton-raceway-extended
3StonePark - Aylezo,3StonePark3,20e3a201-0c82-49dd-bbef-2e7e45b6a136,5ee3513311bc7512567f2b870b1f9076--3stonepark-aylezo
Kartodromo La Palmera,La Palmera,ab2725c0-05ac-418f-9c48-bcf13e047210,5f20ed21af28b479e90afa9e0a4caff3--kartodromo-la-palmera
Launceston Kart Club,LauncestonK,1b65be03-a4ba-4d79-b77c-c785fa792f64,f49dfbdb34ab99819f025cb211d87b5c--launceston-kart-club
MotoKartodromo Adriatico,AdriaticoK,ddd81059-acb8-45d8-8b73-6b2288c63ef4,c02c23f89c1cbc5adda4e2fbade90ea1--motokartodromo-adriatico
New Castle Motorsports Park,NCMP 28,0b3e7ee7-ffe8-4dd9-a657-e2a49583dac6,440c2734dac09bb7c2e988d117deb07e--new-castle-motorsports-park
F1-Karting,F1 Malinovka,314b1921-1192-4ef2-a562-4d121b3f4c94,0f3c8e95d374028549a4e529c60f89d4--f1-karting
Shanghai Max Light,ShanghaiMaxL,0a84c6c7-d024-414b-a9ec-25456017661b,823b60a5b90fcd1e9973bf0f8a05606d--shanghai-max-light
Pista Karting Arcobaleno,ArcobalenoK,89835dbd-f4f9-4e23-a144-e5db2a8993cb,ccd9455f4d37fb51df92f22daedcae2e--pista-karting-arcobaleno
Motor Mile Dragway,MotorMile DW,dde9ef41-1e7e-4dae-9383-30dea7752d63,70326c186b65ba0a1578e4464a1e0763--motor-mile-dragway
Circuito del Sele 2,SeleVar1,4f6e4f10-b55f-468b-8168-9c437d4e7bd4,dcbe7d59bcc2c37d2efbf27301f770a4--circuito-del-sele-2
Autódromo Moisés Solana,MoisesSolana,26e2706c-918a-441c-ac5a-925f02889cc8,5e14ac607bf672c8358ed8d172a5fcfa--aut-dromo-mois-s-solana
Auto Paradise Gotenba Tec,APG_Tec,2c9348d1-0778-4044-b559-7e9cd44db41e,2081c42f3f50c24ecf376e4ebe2dd980--auto-paradise-gotenba-tec
Oakleigh Go Kart Racing Club,Oakleigh-Lon,acd095a1-351f-4a27-8f3c-d5e0afdcabec,2bfaa92ef9e0054734244a4c97ed9f5d--oakleigh-go-kart-racing-club
Circuit de Nevers Magny-Cours,MagnyC. GP,68abe91a-2548-4d5d-8ff3-440c5f1db316,5a58e36070a9299d163b5e7abc66fb88--circuit-de-nevers-magny-cours
Kiteen AIMO,Kiteen,07e1532d-be8d-4cd8-93e6-56b4054d1a90,79cbc81718dd8c46fececfadcb77daea--kiteen-aimo
Driveway Austin Motorsports,DAM EL.CRSE,b469b87b-c5d8-4ffb-a210-ce202173af8f,e41cffed6193ba4692f4d117b9989bdf--driveway-austin-motorsports
Whyalla Kart Club,WhyallaK,41af314c-b8b5-4377-9386-1549a7c3faae,b89a5ee6867034320f46b845d84d9430--whyalla-kart-club
Salento Kart - La Cava,LaCavaK V2,0b96abbc-7e74-4f0f-b797-d761249e923b,115c151979139b5df2ebf5c468a8be87--salento-kart-la-cava
Albany Motor Spwy,Albany GA,f58edef1-c3da-42fd-a0e3-0b5cffc7d310,b99b510ff64ea6e6c532ebdeeef2aa1b--albany-motor-spwy
Carteret Speedway,CarteretS,e45f3b9b-79d9-4fe7-a8eb-1ddf4a5f9c94,08bcf557590dfc19f0538f8754cffe55--carteret-speedway
Oakland Valley Race Park,OVRP Full,3a263af4-e6e5-45b4-846d-4cf7cdf67adf,a2f5ec9b79eeef0f8cc4cda3105aedb0--oakland-valley-race-park
Kartódromo Vila Nova de Paiva,KVNP V2,e49e609b-925a-47c4-8793-476772b6063f,e4935a37ecd86bbf0a0b0b68d085a92b--kart-dromo-vila-nova-de-paiva
Whilton Mill,Whilton NAT,89efc7d5-7714-4fb7-bf86-a47b4e219a1c,c2053ee60ad14b4f2c42fa93ade0f746--whilton-mill
Reading Fairgrounds,Reading,83c77276-6c12-42d3-89f3-8da5864e7b3c,375b9971e1cc7d8d018cb82abaed8249--reading-fairgrounds
Moscow Raceway,Moscow2,cfeb7bb7-812c-4e8b-bf0f-770a68c8eed3,ffcad72840e2c509d3abea849def8fd5--moscow-raceway
Limestone Valley Mower Speedway,LimeMower,13320276-61ec-4ab5-b10d-148850be46b4,57b23d852c5172c129a2f32f7ed4251b--limestone-valley-mower-speedway
Bahrain International Circuit,BIC GP,219d832f-3eb1-4318-94ad-3925973240eb,601daf4249ac32123dc399884db42594--bahrain-international-circuit
Keystone State Quarter Midget Racing Club,Keystone QM,a19442ad-954f-45b9-9228-96981fd533ed,018434c81ef0c6ca56bfa47404bd9c2e--keystone-state-quarter-midget-racing-club
Rocky Ridge Raceway,Rocky Ridge,b5bceb9e-82b3-4eb2-b637-8cda8657db43,3a9a15eafb28e550b751f11d6326e5de--rocky-ridge-raceway
PrimRing,P.Ring CW,1d4f33ba-1ceb-4dae-af92-9779dd1f3544,02e2440c5e55c984bad6186df38d676d--primring
Canyon MX,CanyonOval,07ee8cb1-c7f2-4543-a438-c612fdbc36f5,05e619a3edc845338a6b238e7f1602d1--canyon-mx
Speedway 660,Speedway 660,ff5c9c75-7342-45bb-b17a-36f6e780f798,14bc0d75411669f48ede3c8d95eb1e54--speedway-660
Sacramento Raceway Park,SacramentoRP,ef278071-6521-4fe4-9542-4ba0ec32de6a,9229d1978b3ff019c94e23e973ca0b28--sacramento-raceway-park
ISK Osaka Maishima,ISK Osaka V3,93bce6d7-974c-499c-80fc-cfec66091660,63cabb6ccbd681d7a7c63a9f4f09401f--isk-osaka-maishima
Lucas Oil Raceway,LucasOilR,1113d622-077a-4e2f-b9df-0c6b02fc08ce,04a99667bdca11aa5d972c51f8064fc5--lucas-oil-raceway
Thruxton Motorsport Centre,T.FullKart,5cce8a2a-627c-4889-829a-295302b7d9bf,bf25fedbf5bbdaf30e9b6bad99a89566--thruxton-motorsport-centre
Circuito di Pomposa,Pomposa Long,abae542a-bb99-402b-bf73-6cbc037e444a,ec8abc49e9d52f643ca88a6d2f0576ae--circuito-di-pomposa
Darlington Raceway,DarlingtonR,1e6d0cb0-12a0-421f-9a14-ed2a344d256a,e0d222506995335795c686f49a71b0b5--darlington-raceway
Circuit Park Berghem,Berghem_GP,121868ce-f9fb-4038-9f58-3b0c5c3bb83e,d299efe6979aa836d5aefc246b6cb167--circuit-park-berghem
Indianapolis Motor Speedway,Indianapolis,3c6112f1-989e-4f58-9052-d3d540d1bd26,1cae81ece6dd10379462be3cfa03717e--indianapolis-motor-speedway
Arthur Raceway,Arthur MI,634a2675-a498-437d-aef2-03c35fc6ce18,75515c5482c3ae8fdfee485b61f1b3c2--arthur-raceway
Kartodromo Checo Pérez,KCP C12-CW,3daa9de0-124b-4d1a-b2c6-9161f1877e54,a35553cf23fc0696897e9ecb77ea6dfc--kartodromo-checo-p-rez
Princeton Speedway,Princeton,17163ec2-2905-4b15-9eec-80bf95fa2aa3,1fe71498de4de798037e4a141148d08b--princeton-speedway
Virginia Motorsports Park,VMP DW,b52372cc-7e56-48f2-9fdb-5acf5793427f,06d8eeb0d3d40ed71af457d88f004e14--virginia-motorsports-park
Kentucky Dragway,Kentucky DW,e1658748-b08c-4adb-b161-3a913933dc39,7263f57b277cdd0422baed2a6cc41f0d--kentucky-dragway
Tierp Arena,Tierp Arena,fc14760d-02a6-480d-8212-adb68f3f7a79,922fdd4593395b1dfb56395c970e904c--tierp-arena
Santa Maria Karting Association,SMKA Z,2442ab65-9475-408a-8333-f6ca3a43a84c,5f73a798a738b282af73bd169b5830a3--santa-maria-karting-association
Fahr Werk Karting,Schaafheim,4ced9f95-fd9b-45cc-918a-9e5f3a328818,f3d651d4a0f4cc06644a2b2d63b9062d--fahr-werk-karting
CPTC Canadian Power Toboggan Championships ,CPTC,7c9d6638-6e14-493f-8e32-aa124c86a8c4,a249ba87e872b2c59e32e7a1a76c2c70--cptc-canadian-power-toboggan-championships-
Prokart - Karting Ayrton Senna,A.Senna Kart,b72ae39a-b863-47bc-ba77-5af7a64028e5,f4352d33801b2ff5d0d5b22b7fba9f1d--prokart-karting-ayrton-senna
Fortuna Circuit Motor Sport,FortunaVar7,27a54031-65f1-4003-86a4-25afa5250cb6,2e7f0925922ca20461b15d5ebdccc94b--fortuna-circuit-motor-sport
CalSpeed Karting,CSK Sportivo,fdcd70b4-0ff9-494b-8768-91c8033c6892,3dcf8a371e107307abbc34f8dc0d5de2--calspeed-karting
Alamo City Motorplex,AXMplex DW,b3c61f30-d042-45e9-aef3-e558e119a8f4,6ef838165f5babdd4967323bf9f0cdd4--alamo-city-motorplex
Karting Planet,KoperK,d8d187a6-f97a-4a40-a2b7-9f71d72e92c1,5fe2fe6e9443dc528ffdbc6c9227bc5c--karting-planet
TT Motorsports Piste 100% Moto,CentralTeam,1cf218a6-b903-4ffe-a4cb-4c46e8eb9850,ce31f1109ce220738be237eadabaa1ef--tt-motorsports-piste-100-moto
Smolensk Ring,Smolensk,de03d094-91f7-4e53-94b9-a93690d9c0e1,9c5c0f6c98c738f71774dde112ead124--smolensk-ring
Escuderia Castelo Branco,C.Branco 1,b5f419de-26c3-457d-b27f-f078df9ad974,4e6eb6155c5c2564152f5bde9591e1e0--escuderia-castelo-branco
Play City,PlayCityK,cc524bfc-9736-4cc4-9e12-b184ee4c78e1,820f97d38c758377227cf0fabd92521f--play-city
